Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Description,Baths,Balcony
Provident Park Square,"2 BHK Flat for sale in Jyotipuram, Bangalore",₹75.0 L,"Judicial Layout 2nd Phase, Jyotipuram,Bangalore",901,8320.0,"2 BHK Apartment for sale in Jyotipuram, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Jyotipuram which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Jyotipuram. The property is on floor 8 and the total number of floors is 14. This 2 BHK Apartment is available at a reasonable price of Rs 75.0 L. Residents also need to pay maintenance charges of Rs 2000. It is a very spacious property, spread over 671 Square feet. The built-up area is 90...",3,Yes
Godrej Aqua,"2 BHK Flat for sale in Hosahalli, Bangalore",₹92.0 L,"Hosahalli, Bangalore",1400,6570.0,"One of the finest property in Billamaranahalli is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 13. It is a 15 storeyed building. The price of this Apartment is Rs 92.0 L. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 1400 Square feet. The carpet area is 1000 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Kendriya Vidyalaya Air Force Station Yelahanka, V...",3,Yes
Sobha Palm Court by Sobha Limited,"3 BHK Flat for sale in Kogilu, Bangalore",₹1.8 Cr,"Prakruthi Nagar, Kogilu,Bangalore",1820,9890.0,"3 BHK Apartment for sale in Bengaluru. This property is in Kogilu, which is a coveted investment location. This tastefully designed 3 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 4. The total number of floors in this Apartment is 15. The price of the Apartment is Rs 1.8 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1820 Square feet. Some of the very well-known and reputed ...",3,Yes
Mithuna White Bells,"2 BHK Flat for sale in HBR Layout, Bangalore",₹69.0 L,"Stage 1, HBR Layout,Bangalore",1100,6270.0,"Situated in Jakkur, the Mithuna White Bells is planned to offer a modern lifestyle to all the residents. The residential units in Mithuna White Bells are available in the range of Rs. 65. 1 Lac - 99. 0 Lac. Spread over 3 Acre, this project is impressive in its coverage. There are in total 168 units in this project.

It's a brilliantly made Residential property that's sure to wow you. The exquisite property offering spacious units is Ready To Move. The project boasts of a range of configurations viz Flat which are charming, yet durable. The property offers units in different configurations and ...",3,Yes
Mithuna White Bells,"3 BHK Flat for sale in HBR Layout, Bangalore",₹89.0 L,"Stage 1, HBR Layout,Bangalore",1481,6010.0,"Situated in Jakkur, the Mithuna White Bells is planned to offer a modern lifestyle to all the residents. The residential units in Mithuna White Bells are available in the range of Rs. 65. 1 Lac - 99. 0 Lac. Spread over 3 Acre, this project is impressive in its coverage. There are in total 168 units in this project.

It's a brilliantly made Residential property that's sure to wow you. The exquisite property offering spacious units is Ready To Move. The project boasts of a range of configurations viz Flat which are charming, yet durable. The property offers units in different configurations and ...",3,No
Amaravathi Icon,"2 BHK Flat for sale in Electronic City, Bangalore",₹42.0 L,"Kammasandra, Electronic City,Bangalore",1070,3920.0,"2 BHK Apartment for sale in Electronic City, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Electronic City which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Electronic City. The property is on floor 3 and the total number of floors is 4. Residents also need to pay maintenance charges of Rs 1000. It is a very spacious property, spread over 950 Square feet. The built-up area is 1070 Square feet. This property has provision for 2 bathro...",3,Yes
Prestige Royale Gardens,"3 BHK Flat for sale in Muddanahalli, Bangalore",₹1.09 Cr,"Muddanahalli, Bangalore",1705,6390.0,"Looking for a 3 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 3 BHK property in Bengaluru's finest location, Muddanahalli. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 16 floors. This Apartment is available at a reasonable price of Rs 1.09 Cr. Maintenance charges in this property is Rs 6000. The built up area of this property is 1705 Square feet. It is spacious for a family and this property has a carpet area of 1262 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such...",3,Yes
Vaishnavi Serene,"3 BHK Flat for sale in Yelahanka, Bangalore",₹75.0 L,"Yelahanka, Bangalore",1118,6710.0,"A 3 BHK Apartment for sale in Yelahanka, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Yelahanka's most desired properties. Contact now for more information. This 3 BHK unit is on floor 4. There are 4 floors in this property. The price of this Apartment is Rs 75.0 L. Maintenance charges come to Rs 3500. Each unit has a built-up area of 1118 Square feet. The carpet area is 780 Square feet. This East-facing property has an excellent view. There are 3 bedrooms. There is provision for 2 bathroom. The Apartment in ...",3,No
Arvind Oasis by Arvind SmartSpaces Ltd,"2 BHK Flat for sale in Nagasandra, Bangalore",₹87.0 L,"Nagasandra, Bangalore",1086,8010.0,"One of the finest property in Nagasandra is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 19. It is a 19 storeyed building. The price of this Apartment is Rs 87.0 L. This Apartment is spacious with a built-up area of 1086 Square feet. This property ensures you are a quick distance away from the city's best schools such as Soundarya Composite Pre University College - Best PU College in Bangalore, Hesaraghatta Main Road, BON TON Fitness, and GuruShree Vidya Kendra. It is also close to good and reputed hospitals like Jindal Naturecur...",3,No
Sobha Lake Garden,"3 BHK Flat for sale in Krishnarajapura, Bangalore",₹1.55 Cr,"Duravani Nagar, Krishnarajapura,Bangalore",1765,8780.0,"Looking for a good 3 BHK Apartment in K R Puram, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 13. Total number of floors is 18. This Apartment is available for Rs 1.55 Cr. This modern unit has a built-up area of 1765 Square feet. It is very close to some of city's best hospitals, such as, Koshys Hospital, Sathya Sai Orthopaedic and Multi-specialty Hospital, and Pooja Dental And Orthodontic Clinic. Established schools, such as Hello Kids - India, Gopalan National School, and Mom's Belief Therakeyz are also cl...",3,Yes
Orchid Piccadilly,"2 BHK Flat for sale in Thanisandra, Bangalore",₹85.0 L,"P&T Layout, Thanisandra,Bangalore",1165,7300.0,"2 BHK Apartment for sale in Thanisandra Main Road, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Thanisandra Main Road which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Thanisandra Main Road. The property is on floor 2 and the total number of floors is 2. This 2 BHK Apartment is available at a reasonable price of Rs 85.0 L. The built-up area is 1165 Square feet. It enjoys a strategic location with many reputed and multispeciality hos...",3,No
Godrej Avenues,"2 BHK Flat for sale in Muddanahalli, Bangalore",₹92.0 L,"Muddanahalli, Bangalore",1393,6600.0,"Ready to move flat  in Godrej Avenues which is ready for immediate sale. The flat is available on 5th Floor  , Tower F. flat with a master bedroom with wooden flooring and second bedroom and small study room with a hall and Kitchen with 2 Toilets. This lovely for sale is only without any extra brokerage & could be your new home. This East facing home is over & is in a convenient location. Situated on the 5th floor this home can comfortably serve your parking place for car needs. When you need club house, play area for kids, a gym, park & swimming pool for relaxation, all you have to do is step...",3,No
Sattva Luxuria,"3 BHK Flat for sale in Malleswaram, Bangalore",₹4.0 Cr,"Malleswaram, Bangalore",2210,18100.0,"Property for sale in Malleshwaram, Bengaluru. This 3 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 8. The total number of floors in this building is 18. Homebuyers will also need to pay Rs 10000 towards maintenance. This Apartment is a spacious unit, with carpet area of 1635 Square feet and is ideal for families. The built-up area is 2210 Square feet. The property has 3 bedrooms and 3 bathroom. This unit enjoys a good view and is a South-East facing property. This residential building in Mall...",4,Yes
Sobha City,"3 BHK Flat for sale in Tirumanahalli, Bangalore",₹1.35 Cr,"Devin Paradise Enclave, Tirumanahalli,Bangalore",1564,8630.0,"3 BHK Apartment for sale in Tirumanahalli, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Tirumanahalli which is a promising investment destination in Bengaluru. This might be your chance to grab the best 3 BHK property for sale in Tirumanahalli. The property is on floor 10 and the total number of floors is 14. This 3 BHK Apartment is available at a reasonable price of Rs 1.35 Cr. Residents also need to pay maintenance charges of Rs 5000. The built-up area is 1564 Square feet. This property has provision for 3 ...",3,Yes
Sobha Lake Garden by Sobha Limited,"2 BHK Flat for sale in Seegehalli, Bangalore",₹94.0 L,"Seegehalli, Bangalore",1348,6970.0,"A 2 BHK Apartment for sale in Seegehalli, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Seegehalli's most desired properties. Contact now for more information. This 2 BHK unit is on floor 15. There are 18 floors in this property. The price of this Apartment is Rs 94.0 L. Each unit has a built-up area of 1348 Square feet. There are 2 bedrooms. This residential property is near Ramdev Books Store, Seeghalli Govi School, and Jnanaganga International School. It is also close to Ayur Ashrama, CHANDAN MEDICALS, and ...",3,No
Sobha Lake Garden by Sobha Limited,"3 BHK Flat for sale in Hampapura, Bangalore",₹1.55 Cr,"Hampapura, Bangalore",1765,8780.0,"Looking for a good 3 BHK Apartment in Krishnarajapura, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 13. Total number of floors is 18. This Apartment is available for Rs 1.55 Cr. This modern unit has a built-up area of 1765 Square feet. It is very close to some of city's best hospitals, such as, Brookefield Hospital and Government Veterinary Hospital. Established schools, such as Govt High School Sheshagurihalli, GHPS Sheshagirihalli, and MEGACITY DEVELOPERS AND BUILDERS PRIVATE LTD are also close-by",3,Yes
Narya 5 Elements,"2 BHK Flat for sale in Kadugodi, Bangalore",₹60.0 L,"Belathur, Kadugodi,Bangalore",1124,5340.0,"Looking for a good 2 BHK Apartment in K R Puram, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 5. Maintenance charges of this property is Rs 3500. This Apartment is available for Rs 60.0 L. This modern unit has a built-up area of 1124 Square feet. The carpet area of this Apartment is 900 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Little Blossom Woman & Child clinic, AAXIS HOSPITALS, and ortho care and general clini...",3,No
Orchid Piccadilly by Goyal & co | Hariyana Group,"2 BHK Flat for sale in Thanisandra, Bangalore",₹88.0 L,"Manayata Tech Park, Thanisandra,Bangalore",1165,7550.0,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Bengaluru's top location, Thanisandra. It is situated on floor 2. The total number of floors in this Apartment is 14. The property price of this unit is Rs 88.0 L. The built-up area is 1165 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Rashtrotthana Vidya Kendra, DANCE CLASS Shadowz One' dance fitness, and Jain Heritage School (JHS). Healthcare facility ...",3,No
Mantri Serenity,"3 BHK Flat for sale in Subramanyapura, Bangalore",₹1.55 Cr,"Singapore Gardens And Green Fields, Subramanyapura,Bangalore",1720,9010.0,"One of the finest property in Subramanyapura is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 13. It is a 22 storeyed building. The price of this Apartment is Rs 1.55 Cr. Other charges when you move into this property include maintenance, which is Rs 5000. This Apartment is spacious with a built-up area of 1720 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Jyothy Kendriya Vidyalaya, Silicon City Academy Of Secondary Education, and Insight ...",3,Yes
Brigade Northridge Neo by Brigade Enterprises Ltd,"3.5 BHK Flat for sale in Kogilu, Bangalore",₹1.6 Cr,"Prakruthi Nagar, Kogilu,Bangalore",1880,8510.0,"One of the finest property in Kogilu is now available for sale. This is a 3.5 BHK Apartment posted directly by owner. Make it yours now. It is on floor 9. It is a 11 storeyed building. The price of this Apartment is Rs 1.6 Cr. Other charges when you move into this property include maintenance, which is Rs 5000. This Apartment is spacious with a built-up area of 1880 Square feet. This property ensures you are a quick distance away from the city's best schools such as Sri Subramanya Motor Driving School, Sri Gnanajyothi School, and EuroSchool North Campus - CBSE School. It is also close to good ...",3,Yes
Provident Park Square by Provident Housing Limited,"3 BHK Flat for sale in Judicial Layout, Bangalore",₹1.1 Cr,"Judicial Layout, Bangalore",1308,8410.0,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Bengaluru's top location, Judicial Layout. It is situated on floor 11. The total number of floors in this Apartment is 14. The property price of this unit is Rs 1.1 Cr. The built-up area is 1308 Square feet. It is an ideal location for young families with kids, as this property is close to DANCE CLASS Shadowz One' dance fitness, Trio World Academy -, and RP Shreyon India Pvt Ltd. Healthcare facility is also close at hand with Motherhood Ho...",3,Yes
Godrej Aqua by Godrej Properties Ltd. ,"2 BHK Flat for sale in Hosahalli, Bangalore",₹85.0 L,"Hosahalli, Bangalore",1146,7420.0,"One of the finest property in Hosahalli is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 11. It is a 12 storeyed building. The price of this Apartment is Rs 85.0 L. This Apartment is spacious with a built-up area of 1146 Square feet. This property ensures you are a quick distance away from the city's best schools such as Jawahar Navodaya Vidyalaya, Bangalore Urban, Vidya Vikas International School, and Government Higher Primary School Hosahalli. It is also close to good and reputed hospitals like KARNATAKA SIDDAAYURVEDA AND ALTERN...",3,No
Sipani Royal Heritage,"2 BHK Flat for sale in Iggalur, Bangalore",₹40.0 L,"Iggalur, Bangalore",975,4100.0,"One of the finest property in Iggalur is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 11. It is a 14 storeyed building. The price of this Apartment is Rs 40.0 L. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 975 Square feet. The carpet area is 631 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Surana Vidyalaya, Triumph World School, and EuroKids Prescho...",3,No
Prestige Jindal City,"2 BHK Flat for sale in Anchepalya, Bangalore",₹80.79 L,"Anchepalya, Bangalore",2500,3230.0,"Check out this 2 BHK Apartment for sale in Anchepalya, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Anchepalya is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 16. The total number of floors in this project is 19. The property's price is Rs 80.79 L. This property is a modern-day abode, with 2500 Square feet built-up area. The unit has 2 bedrooms and 2 bathroom. Educational institutions ar...",4,Yes
Pashmina Pashmina Waterfront by Pashmina Developers,"3 BHK Flat for sale in Hampapura, Bangalore",₹1.25 Cr,"Hampapura, Bangalore",1918,6520.0,"3 BHK Apartment for sale in Bengaluru. This property is in Krishnarajapura, which is a coveted investment location. This tastefully designed 3 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 20. The total number of floors in this Apartment is 38. The price of the Apartment is Rs 1.25 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1918 Square feet. Some of the very well-known a...",3,Yes
Provident Sunworth,"2 BHK Flat for sale in Kambipura, Bangalore",₹45.0 L,"Kambipura, Bangalore",883,5100.0,"Looking for a 2 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 2 BHK property in Bengaluru's finest location, Kambipura. This is an owner listed property and there is no brokerage involved. It is on floor 6 out of 12 floors. This Apartment is available at a reasonable price of Rs 56.0 L. Maintenance charges in this property is Rs 2000. The built up area of this property is 883 Square feet. It is spacious for a family and this property has a carpet area of 650 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as K....",3,Yes
Arvind Oasis by Arvind SmartSpaces Ltd,"2 BHK Flat for sale in Nagasandra, Bangalore",₹86.0 L,"Nagasandra, Bangalore",1086,7920.0,"Looking for a 2 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 2 BHK property in Bengaluru's finest location, Nagasandra. This is an owner listed property and there is no brokerage involved. It is on floor 19 out of 19 floors. This Apartment is available at a reasonable price of Rs 86.0 L. The built up area of this property is 1086 Square feet. There are a number of reputed schools in the vicinity such as Soundarya Composite Pre University College - Best PU College in Bangalore, Hesaraghatta Main Road, BON TON Fitness, and GuruShree Vidya Kendra. Medical facility is also ...",3,Yes
Total Environment In That Quiet Earth Phase 2B by Total Environment Building Systems,"4 BHK Flat for sale in Kothanur, Bangalore",₹2.5 Cr,"Kothanur, Bangalore",2900,8620.0,"One of the finest property in Hennur Main Road is now available for sale. This is a 4 BHK Apartment posted directly by owner. Make it yours now. It is on floor 28. It is a 36 storeyed building. The price of this Apartment is Rs 2.5 Cr. This Apartment is spacious with a built-up area of 2900 Square feet. This property ensures you are a quick distance away from the city's best schools such as Sri Balaji Motor Driving Training School, Rashtrotthana Vidya Kendra, and Bangalore International School. It is also close to good and reputed hospitals like Altius Hospitals HBR Layout, Cratis Hospital, an...",4,Yes
Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 by Sobha Limited,"3 BHK Flat for sale in Anekal, Bangalore",₹1.7 Cr,"Anekal, Bangalore",1755,9690.0,"3 BHK Apartment for sale in Bengaluru. This property is in Anekal, which is a coveted investment location. This tastefully designed 3 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 36. The total number of floors in this Apartment is 38. The price of the Apartment is Rs 1.7 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1755 Square feet. Some of the very well-known and reputed...",3,Yes
Mantri Serenity by Mantri Developers,"3 BHK Flat for sale in Lingadheeranahalli, Bangalore",₹1.5 Cr,"Lingadheeranahalli, Bangalore",1701,8820.0,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Bengaluru's top location, Kanakapura Road. It is situated on floor 12. The total number of floors in this Apartment is 26. The property price of this unit is Rs 1.5 Cr. The built-up area is 1701 Square feet. It is an ideal location for young families with kids, as this property is close to EuroKids Preschool Vajarahalli Kanakapura Road | Best Preschool In Kanakapura Road, Sri Chaitanya School, and Jnana Sweekar Public School. Healthcare fa...",3,Yes
SMR Vinay Estella,"2 BHK Flat for sale in Vidyaranyapura, Bangalore",₹64.0 L,"Vidyaranyapura, Bangalore",1210,5290.0,"One of the finest property in Vidyaranyapura is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 5. It is a 9 storeyed building. The price of this Apartment is Rs 64.0 L. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 1210 Square feet. The carpet area is 846 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Montessori Teacher Training SAMS Academy, Kendriya Vid...",3,Yes
Godrej 24,"3 BHK Flat for sale in Volagerekallahalli, Bangalore",₹1.2 Cr,"Volagerekallahalli, Bangalore",1552,7730.0,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Bengaluru's top location, Volagerekallahalli. It is situated on floor 20. The total number of floors in this Apartment is 22. The property price of this unit is Rs 1.2 Cr. The carpet area of this unit is 1024 Square feet. The built-up area is 1552 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Namma Sampradaya Charitable and Education Trust, Sri Vari Layo...",3,Yes
Prestige Jindal City,"1 BHK Flat for sale in Anchepalya, Bangalore",₹50.0 L,"Anchepalya, Bangalore",607,8240.0,"It has a wide range of facilities like , gym,swimming pool, yoga ,mini soccer, tennis ,garden,kids playing area,jogging track,visitor parking,Zumba classes etc….. More About This Property 1 BHK Apartment for sale in Anchepalya, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Anchepalya which is a promising investment destination in Bengaluru. This might be your chance to grab the best 1 BHK property for sale in Anchepalya. The property is on floor 25 and the total number of floors is 27. This 1 BHK Apartment is ...",2,Yes
Godrej 24,"3 BHK Flat for sale in Volagerekallahalli, Bangalore",₹1.1 Cr,"Volagerekallahalli, Bangalore",1573,6990.0,"Check out this 3 BHK Apartment for sale in Volagerekallahalli, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Volagerekallahalli is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 4. The total number of floors in this project is 18. The property's price is Rs 1.1 Cr. Residents in this property pay Rs 5000 towards maintenance. This property is a modern-day abode, with 1573 Square feet built-up...",3,No
Sobha Royal Pavilion,"3 BHK Flat for sale in Mattanahalli, Bangalore",₹1.8 Cr,"Mattanahalli, Bangalore",1507,11940.0,"Looking for a good 3 BHK Apartment in Sarjapur Road, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 12. Total number of floors is 18. Maintenance charges of this property is Rs 0. This Apartment is available for Rs 1.8 Cr. This modern unit has a built-up area of 1507 Square feet. Established schools, such as Pup School Kagganur, Mattanahalli Govt Primary School, and Thindlu Government School - ArtSparks Lab are also close-by",3,No
Arvind Oasis by Arvind SmartSpaces Ltd,"2 BHK Flat for sale in Nagasandra, Bangalore",₹85.0 L,"Nagasandra, Bangalore",1086,7830.0,"2 BHK Apartment for sale in Nagasandra, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Nagasandra which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Nagasandra. The property is on floor 11 and the total number of floors is 19. This 2 BHK Apartment is available at a reasonable price of Rs 85.0 L. The built-up area is 1086 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Jindal Natur...",3,No
Concorde Spring Meadows by Concorde Housing Corporation Pvt. Ltd.,"2 BHK Flat for sale in Aivarkhandpur, Bangalore",₹70.0 L,"Aivarkhandpur, Bangalore",1036,6760.0,"Property for sale in Hesaraghatta, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 7. The total number of floors in this building is 8. This Apartment's price is Rs 70.0 L. The built-up area is 1036 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as Sapthagiri Hospital, Bangalore City District Panchayati Engineering Divison Maternity And Delivery Hospital, and Chaitanya hospital. Schools like Jnanabharathi Vidyalayas...",3,No
Concorde Spring Meadows by Concorde Housing Corporation Pvt. Ltd.,"2 BHK Flat for sale in Aivarkhandpur, Bangalore",₹70.0 L,"Aivarkhandpur, Bangalore",1036,6760.0,"Check out this 2 BHK Apartment for sale in Hesaraghatta, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Hesaraghatta is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 8. The total number of floors in this project is 8. The property's price is Rs 70.0 L. This property is a modern-day abode, with 1036 Square feet built-up area. Educational institutions are closeby with schools such as Jnanabha...",3,No
Concorde Spring Meadows by Concorde Housing Corporation Pvt. Ltd.,"1 BHK Flat for sale in Aivarkhandpur, Bangalore",₹50.0 L,"Aivarkhandpur, Bangalore",800,6250.0,"1 BHK Apartment for sale in Hesaraghatta, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Hesaraghatta which is a promising investment destination in Bengaluru. This might be your chance to grab the best 1 BHK property for sale in Hesaraghatta. The property is on floor 6 and the total number of floors is 8. This 1 BHK Apartment is available at a reasonable price of Rs 50.0 L. The built-up area is 800 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Sapthagir...",1,No
Shriram Blue,"2 BHK Flat for sale in Nagarathpet, Bangalore",₹89.0 L,"Dodpete, Nagarathpet,Bangalore",1285,6930.0,"Looking for a good 2 BHK Apartment in Sonnenahalli Colony, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 5. Total number of floors is 12. Maintenance charges of this property is Rs 0. This Apartment is available for Rs 89.0 L. This modern unit has a built-up area of 1285 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Apollo Hospitals, Vikram Hospital, and Victoria Hospital. Established schools, such as Government Higher Primary School Doddanallala...",3,No
Prestige Jindal City by Prestige Estates Projects Ltd.,"1 BHK Flat for sale in Nagasandra, Bangalore",₹59.0 L,"Nagasandra, Bangalore",607,9720.0,"Check out this 1 BHK Apartment for sale in Nagasandra, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 1 BHK Apartment is perfect for a modern-day lifestyle. Nagasandra is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 14. The total number of floors in this project is 24. The property's price is Rs 59.0 L. This property is a modern-day abode, with 607 Square feet built-up area. Educational institutions are closeby with schools such as Carmel Publ...",2,Yes
Shapoorji Pallonji Parkwest Phase 2,"1 BHK Flat for sale in Jagajeevanram Nagar, Bangalore",₹72.0 L,"Ranganatha Colony, Jagajeevanram Nagar,Bangalore",660,10910.0,"A 1 BHK Apartment for sale in Jagajeevanram Nagar, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Jagajeevanram Nagar's most desired properties. Contact now for more information. This 1 BHK unit is on floor 9. There are 32 floors in this property. The price of this Apartment is Rs 72.0 L. Each unit has a built-up area of 660 Square feet. The carpet area is 480 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near sweet Heart, gkthps, and KK Convent. It is also cl...",2,Yes
Godrej Aqua,"2 BHK Flat for sale in Hosahalli, Bangalore",₹75.0 L,"Hosahalli, Bangalore",1103,6800.0,"Looking for a good 2 BHK Apartment in Billamaranahalli, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 14. Total number of floors is 15. This Apartment is available for Rs 75.0 L. This modern unit has a built-up area of 1103 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, KARNATAKA SIDDAAYURVEDA AND ALTERNATIVE MEDICINE HOSPITAL, Lakshmi Hospital, and N R V Hospital. Established schools, such as Government Lower Primary School Kb Hosahalli, Governme...",3,No
Valmark Apas,"4 BHK Villa for sale in Hulimavu, Bangalore",₹3.75 Cr,"Hulimavu, Bangalore",3560,10530.0,"4 BHK Villa for sale in Hulimavu, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Villa is in Hulimavu which is a promising investment destination in Bengaluru. This might be your chance to grab the best 4 BHK property for sale in Hulimavu. This 4 BHK Villa is available at a reasonable price of Rs 3.75 Cr. The built-up area is 3560 Square feet. This property has provision for 4 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Fortis Hospital, Apollo Hospitals Bannerghatta, and...",2,Yes
Sipani Royal Heritage by  Sipani Properties Private Limited ,"1 BHK Flat for sale in Chandapura, Bangalore",₹26.5 L,"Biotech Park, Chandapura,Bangalore",590,4490.0,"Property for sale in Chandapura, Bengaluru. This 1 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 5. The total number of floors in this building is 14. This Apartment's price is Rs 26.5 L. The built-up area is 590 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as Narayana Institute of Cardiac Sciences, Sparsh Hospital, and Mazumdar Shaw Medical Center. Schools like D AMERICAN INTERNATIONAL SCHOOL, Nazareth School, and De Sales Acade...",2,Yes
